_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture,userInputs/0/userID,userInputs/1/WhPerMile,userInputs/1/kWhRequested,userInputs/1/milesRequested,userInputs/1/minutesAvailable,userInputs/1/modifiedAt,userInputs/1/paymentRequired,userInputs/1/requestedDeparture,userInputs/1/userID,userInputs/2/WhPerMile,userInputs/2/kWhRequested,userInputs/2/milesRequested,userInputs/2/minutesAvailable,userInputs/2/modifiedAt,userInputs/2/paymentRequired,userInputs/2/requestedDeparture,userInputs/2/userID,userInputs/0,userInputs/3/WhPerMile,userInputs/3/kWhRequested,userInputs/3/milesRequested,userInputs/3/minutesAvailable,userInputs/3/modifiedAt,userInputs/3/paymentRequired,userInputs/3/requestedDeparture,userInputs/3/userID,userInputs/4/WhPerMile,userInputs/4/kWhRequested,userInputs/4/milesRequested,userInputs/4/minutesAvailable,userInputs/4/modifiedAt,userInputs/4/paymentRequired,userInputs/4/requestedDeparture,userInputs/4/userID,userInputs/5/WhPerMile,userInputs/5/kWhRequested,userInputs/5/milesRequested,userInputs/5/minutesAvailable,userInputs/5/modifiedAt,userInputs/5/paymentRequired,userInputs/5/requestedDeparture,userInputs/5/userID,userInputs/6/WhPerMile,userInputs/6/kWhRequested,userInputs/6/milesRequested,userInputs/6/minutesAvailable,userInputs/6/modifiedAt,userInputs/6/paymentRequired,userInputs/6/requestedDeparture,userInputs/6/userID,userInputs/7/WhPerMile,userInputs/7/kWhRequested,userInputs/7/milesRequested,userInputs/7/minutesAvailable,userInputs/7/modifiedAt,userInputs/7/paymentRequired,userInputs/7/requestedDeparture,userInputs/7/userID,userInputs/8/WhPerMile,userInputs/8/kWhRequested,userInputs/8/milesRequested,userInputs/8/minutesAvailable,userInputs/8/modifiedAt,userInputs/8/paymentRequired,userInputs/8/requestedDeparture,userInputs/8/userID,userInputs/9/WhPerMile,userInputs/9/kWhRequested,userInputs/9/milesRequested,userInputs/9/minutesAvailable,userInputs/9/modifiedAt,userInputs/9/paymentRequired,userInputs/9/requestedDeparture,userInputs/9/userID,userInputs/10/WhPerMile,userInputs/10/kWhRequested,userInputs/10/milesRequested,userInputs/10/minutesAvailable,userInputs/10/modifiedAt,userInputs/10/paymentRequired,userInputs/10/requestedDeparture,userInputs/10/userID,userInputs/11/WhPerMile,userInputs/11/kWhRequested,userInputs/11/milesRequested,userInputs/11/minutesAvailable,userInputs/11/modifiedAt,userInputs/11/paymentRequired,userInputs/11/requestedDeparture,userInputs/11/userID,userInputs/12/WhPerMile,userInputs/12/kWhRequested,userInputs/12/milesRequested,userInputs/12/minutesAvailable,userInputs/12/modifiedAt,userInputs/12/paymentRequired,userInputs/12/requestedDeparture,userInputs/12/userID,userInputs/13/WhPerMile,userInputs/13/kWhRequested,userInputs/13/milesRequested,userInputs/13/minutesAvailable,userInputs/13/modifiedAt,userInputs/13/paymentRequired,userInputs/13/requestedDeparture,userInputs/13/userID,userInputs/14/WhPerMile,userInputs/14/kWhRequested,userInputs/14/milesRequested,userInputs/14/minutesAvailable,userInputs/14/modifiedAt,userInputs/14/paymentRequired,userInputs/14/requestedDeparture,userInputs/14/userID,userInputs/15/WhPerMile,userInputs/15/kWhRequested,userInputs/15/milesRequested,userInputs/15/minutesAvailable,userInputs/15/modifiedAt,userInputs/15/paymentRequired,userInputs/15/requestedDeparture,userInputs/15/userID,userInputs/16/WhPerMile,userInputs/16/kWhRequested,userInputs/16/milesRequested,userInputs/16/minutesAvailable,userInputs/16/modifiedAt,userInputs/16/paymentRequired,userInputs/16/requestedDeparture,userInputs/16/userID,userInputs/17/WhPerMile,userInputs/17/kWhRequested,userInputs/17/milesRequested,userInputs/17/minutesAvailable,userInputs/17/modifiedAt,userInputs/17/paymentRequired,userInputs/17/requestedDeparture,userInputs/17/userID,userInputs/18/WhPerMile,userInputs/18/kWhRequested,userInputs/18/milesRequested,userInputs/18/minutesAvailable,userInputs/18/modifiedAt,userInputs/18/paymentRequired,userInputs/18/requestedDeparture,userInputs/18/userID,userInputs/19/WhPerMile,userInputs/19/kWhRequested,userInputs/19/milesRequested,userInputs/19/minutesAvailable,userInputs/19/modifiedAt,userInputs/19/paymentRequired,userInputs/19/requestedDeparture,userInputs/19/userID,userInputs/20/WhPerMile,userInputs/20/kWhRequested,userInputs/20/milesRequested,userInputs/20/minutesAvailable,userInputs/20/modifiedAt,userInputs/20/paymentRequired,userInputs/20/requestedDeparture,userInputs/20/userID,userInputs/21/WhPerMile,userInputs/21/kWhRequested,userInputs/21/milesRequested,userInputs/21/minutesAvailable,userInputs/21/modifiedAt,userInputs/21/paymentRequired,userInputs/21/requestedDeparture,userInputs/21/userID
5dd0a2e1f9af8b29ea6a39d7,0001,"Fri, 01 Nov 2019 04:54:58 GMT","Fri, 01 Nov 2019 09:29:45 GMT","Fri, 01 Nov 2019 07:03:11 GMT",5.589,1_1_178_823_2019-11-01 04:54:57.634769,0001,AG-1F08,1-1-178-823,America/Los_Angeles,000000405,400,8,20,157,"Fri, 01 Nov 2019 04:55:23 GMT",true,"Fri, 01 Nov 2019 07:31:58 GMT",405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec178087,0001,"Fri, 01 Nov 2019 11:08:52 GMT","Fri, 01 Nov 2019 20:35:12 GMT","Fri, 01 Nov 2019 14:02:47 GMT",9.369,1_1_194_821_2019-11-01 11:08:51.993340,0001,AG-1F13,1-1-194-821,America/Los_Angeles,000000467,400,16,40,169,"Fri, 01 Nov 2019 11:08:54 GMT",true,"Fri, 01 Nov 2019 13:57:52 GMT",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec178088,0001,"Fri, 01 Nov 2019 12:03:31 GMT","Fri, 01 Nov 2019 23:30:46 GMT","Fri, 01 Nov 2019 14:22:41 GMT",6.351,1_1_193_825_2019-11-01 12:03:30.723021,0001,AG-1F01,1-1-193-825,America/Los_Angeles,000003836,400,8,20,60,"Fri, 01 Nov 2019 12:03:41 GMT",true,"Fri, 01 Nov 2019 13:03:31 GMT",3836,400,8,20,60,"Fri, 01 Nov 2019 23:29:54 GMT",true,"Fri, 01 Nov 2019 13:03:31 GMT",3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec178089,0001,"Fri, 01 Nov 2019 12:37:31 GMT","Fri, 01 Nov 2019 22:48:00 GMT","Fri, 01 Nov 2019 19:11:39 GMT",15.906,1_1_194_822_2019-11-01 12:37:30.956658,0001,AG-1F12,1-1-194-822,America/Los_Angeles,000003152,333,16.65,50,481,"Fri, 01 Nov 2019 12:38:12 GMT",true,"Fri, 01 Nov 2019 20:38:31 GMT",3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808a,0001,"Fri, 01 Nov 2019 12:50:04 GMT","Fri, 01 Nov 2019 19:42:40 GMT","Fri, 01 Nov 2019 16:56:29 GMT",20.012,1_1_179_799_2019-11-01 12:50:03.824963,0001,AG-3F25,1-1-179-799,America/Los_Angeles,000004147,400,20,50,61,"Fri, 01 Nov 2019 12:50:11 GMT",true,"Fri, 01 Nov 2019 13:51:04 GMT",4147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808b,0001,"Fri, 01 Nov 2019 13:00:33 GMT","Fri, 01 Nov 2019 19:08:53 GMT","Fri, 01 Nov 2019 19:09:51 GMT",38.277451666666664,1_1_179_800_2019-11-01 12:59:54.551438,0001,AG-3F32,1-1-179-800,America/Los_Angeles,000000401,225,42.75,190,431,"Fri, 01 Nov 2019 13:00:32 GMT",true,"Fri, 01 Nov 2019 20:11:33 GMT",401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808c,0001,"Fri, 01 Nov 2019 13:01:44 GMT","Fri, 01 Nov 2019 22:42:35 GMT","Fri, 01 Nov 2019 14:37:33 GMT",4.741,1_1_193_829_2019-11-01 13:01:43.612831,0001,AG-1F03,1-1-193-829,America/Los_Angeles,000000344,400,8,20,60,"Fri, 01 Nov 2019 13:01:57 GMT",true,"Fri, 01 Nov 2019 14:01:44 GMT",344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808d,0001,"Fri, 01 Nov 2019 13:07:06 GMT","Fri, 01 Nov 2019 17:22:04 GMT","Fri, 01 Nov 2019 15:55:42 GMT",6.403,1_1_179_791_2019-11-01 13:07:05.872457,0001,AG-3F26,1-1-179-791,America/Los_Angeles,000004000,400,8,20,200,"Fri, 01 Nov 2019 13:07:20 GMT",true,"Fri, 01 Nov 2019 16:27:06 GMT",4000,400,8,20,200,"Fri, 01 Nov 2019 15:55:01 GMT",true,"Fri, 01 Nov 2019 16:27:06 GMT",4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808e,0001,"Fri, 01 Nov 2019 13:16:59 GMT","Fri, 01 Nov 2019 23:11:42 GMT","Fri, 01 Nov 2019 23:12:41 GMT",21.347,1_1_178_817_2019-11-01 13:16:59.042813,0001,AG-1F09,1-1-178-817,America/Los_Angeles,000000378,250,25,100,470,"Fri, 01 Nov 2019 13:17:30 GMT",true,"Fri, 01 Nov 2019 21:06:59 GMT",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f471f9af8b2dec17808f,0001,"Fri, 01 Nov 2019 13:20:02 GMT","Fri, 01 Nov 2019 19:27:26 GMT","Fri, 01 Nov 2019 19:28:25 GMT",17.107,1_1_193_816_2019-11-01 13:20:01.901079,0001,AG-1F05,1-1-193-816,America/Los_Angeles,000001733,400,40,100,720,"Fri, 01 Nov 2019 13:20:10 GMT",true,"Sat, 02 Nov 2019 01:20:02 GMT",1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
